Datetime,Actual,Prophet_Forecast,ETS_Forecast,Prophet_Residual,ETS_Residual
2017-08-14 23:00:00,16045.0,16303.216947610556,13032.939748261091,-258.2169476105555,3012.060251738909
2017-08-15 00:00:00,14734.0,15458.22401062635,12463.638075018376,-724.2240106263507,2270.361924981624
2017-08-15 01:00:00,13767.0,14684.212503860716,11968.69110145286,-917.2125038607155,1798.3088985471404
2017-08-15 02:00:00,13138.0,14096.4545228915,11674.929419340217,-958.4545228914994,1463.0705806597834
2017-08-15 03:00:00,12718.0,13758.743990007892,11370.989578764256,-1040.7439900078916,1347.0104212357437
2017-08-15 04:00:00,12511.0,13719.106419962443,11197.623508310018,-1208.1064199624434,1313.3764916899818
2017-08-15 05:00:00,12570.0,14009.225665390686,11173.88317869342,-1439.2256653906861,1396.1168213065794
2017-08-15 06:00:00,13086.0,14597.33917384882,11522.09410812336,-1511.3391738488208,1563.9058918766405
2017-08-15 07:00:00,14052.0,15350.75943674982,12310.97634829225,-1298.7594367498205,1741.02365170775
2017-08-15 08:00:00,14501.0,16069.528492655718,12818.9049562715,-1568.5284926557179,1682.0950437284991
2017-08-15 09:00:00,15185.0,16586.555922719577,12617.331093170373,-1401.5559227195772,2567.6689068296273
2017-08-15 10:00:00,16024.0,16857.77671119004,12376.30712944085,-833.7767111900394,3647.692870559151
2017-08-15 11:00:00,17005.0,16964.22266824921,12067.868255624431,40.77733175078902,4937.131744375569
2017-08-15 12:00:00,17751.0,17023.86483913353,11707.346312013222,727.13516086647,6043.653687986778
2017-08-15 13:00:00,18463.0,17093.17634490682,11516.3005131952,1369.8236550931797,6946.6994868048005
2017-08-15 14:00:00,19148.0,17145.77142203584,11438.633205778917,2002.2285779641606,7709.366794221083
2017-08-15 15:00:00,19377.0,17139.060596721938,11483.551863366643,2237.939403278062,7893.448136633357
2017-08-15 16:00:00,19491.0,17093.229397478124,11557.313790894894,2397.770602521876,7933.686209105106
2017-08-15 17:00:00,19986.0,17095.02274855313,11768.395148207625,2890.9772514468714,8217.604851792375
2017-08-15 18:00:00,20221.0,17214.34769914223,12048.547241684708,3006.6523008577715,8172.452758315292
2017-08-15 19:00:00,19979.0,17411.385411684125,12629.48042126571,2567.614588315875,7349.519578734289
2017-08-15 20:00:00,19443.0,17527.892158825893,13457.880090370418,1915.1078411741073,5985.119909629582
2017-08-15 21:00:00,18914.0,17382.025359724044,13658.49565865446,1531.9746402759556,5255.5043413455405
2017-08-15 22:00:00,18291.0,16892.035152763347,13471.766752161036,1398.9648472366534,4819.2332478389635
2017-08-15 23:00:00,16774.0,16129.370208566146,13032.418956574866,644.6297914338538,3741.5810434251343
2017-08-16 00:00:00,15396.0,15267.180741593938,12463.117283332149,128.81925840606164,2932.882716667851
2017-08-16 01:00:00,14210.0,14480.570823121803,11968.170309766634,-270.5708231218032,2241.829690233366
2017-08-16 02:00:00,13315.0,13884.60325704413,11674.40862765399,-569.6032570441294,1640.5913723460108
2017-08-16 03:00:00,12880.0,13542.826150144176,11370.468787078027,-662.8261501441757,1509.5312129219728
2017-08-16 04:00:00,12463.0,13502.986836381868,11197.102716623793,-1039.9868363818678,1265.8972833762073
2017-08-16 05:00:00,12571.0,13796.46303719226,11173.362387007192,-1225.4630371922594,1397.6376129928085
2017-08-16 06:00:00,13010.0,14391.162730368012,11521.573316437132,-1381.1627303680125,1488.4266835628678
2017-08-16 07:00:00,13958.0,15154.050347038496,12310.455556606024,-1196.0503470384956,1647.5444433939756
2017-08-16 08:00:00,14423.0,15884.806097347077,12818.384164585274,-1461.8060973470765,1604.6158354147265
2017-08-16 09:00:00,15135.0,16415.96880105002,12616.810301484144,-1280.9688010500213,2518.1896985158564
2017-08-16 10:00:00,16090.0,16703.098534981484,12375.786337754622,-613.0985349814837,3714.213662245378
2017-08-16 11:00:00,17211.0,16826.85273541521,12067.347463938204,384.1472645847898,5143.652536061796
2017-08-16 12:00:00,18210.0,16904.83312205968,11706.825520326996,1305.166877940319,6503.174479673004
2017-08-16 13:00:00,19054.0,16993.152835132583,11515.779721508972,2060.8471648674167,7538.220278491028
2017-08-16 14:00:00,19918.0,17065.07950219374,11438.11241409269,2852.920497806259,8479.88758590731
2017-08-16 15:00:00,20464.0,17077.69412458151,11483.031071680418,3386.3058754184894,8980.968928319582
2017-08-16 16:00:00,20809.0,17050.873145548743,11556.792999208668,3758.126854451257,9252.207000791332
2017-08-16 17:00:00,20945.0,17071.075806787827,11767.874356521395,3873.924193212173,9177.125643478605
2017-08-16 18:00:00,20822.0,17207.949418001517,12048.02644999848,3614.050581998483,8773.97355000152
2017-08-16 19:00:00,20483.0,17421.443438422615,12628.959629579484,3061.556561577385,7854.040370420516
2017-08-16 20:00:00,20043.0,17553.112102215022,13457.35929868419,2489.887897784978,6585.64070131581
2017-08-16 21:00:00,19517.0,17420.94160686995,13657.974866968232,2096.05839313005,5859.025133031768
2017-08-16 22:00:00,18931.0,16943.04235674264,13471.245960474807,1987.9576432573595,5459.754039525193
2017-08-16 23:00:00,17520.0,16190.754967882034,13031.898164888638,1329.2450321179658,4488.101835111362
