Datetime,Actual,Prophet_Forecast,ETS_Forecast
2018-05-15 21:00:00,16143.0,14912.578774500125,13516.319528314281
2018-05-15 22:00:00,15776.0,14422.808906093514,13329.590621820857
2018-05-15 23:00:00,14547.0,13660.3680495077,12890.242826234688
2018-05-16 00:00:00,13367.0,12798.406570178482,12320.94115299197
2018-05-16 01:00:00,12488.0,12012.028690679099,11825.994179426456
2018-05-16 02:00:00,11972.0,11416.297366342795,11532.232497313811
2018-05-16 03:00:00,11556.0,11074.760855553606,11228.29265673785
2018-05-16 04:00:00,11309.0,11035.166644030398,11054.926586283613
2018-05-16 05:00:00,11460.0,11328.892605117706,11031.186256667015
2018-05-16 06:00:00,11965.0,11923.846868653782,11379.397186096954
2018-05-16 07:00:00,12934.0,12686.994017947725,12168.279426265844
2018-05-16 08:00:00,13456.0,13418.014415442683,12676.208034245095
2018-05-16 09:00:00,13869.0,13949.4470333072,12474.634171143967
2018-05-16 10:00:00,14000.0,14236.852100890606,12233.610207414444
2018-05-16 11:00:00,14364.0,14360.887207078265,11925.171333598026
2018-05-16 12:00:00,14586.0,14439.154224280826,11564.649389986815
2018-05-16 13:00:00,14863.0,14527.766445498266,11373.603591168794
2018-05-16 14:00:00,15062.0,14599.991651144826,11295.936283752511
2018-05-16 15:00:00,15265.0,14612.910995462484,11340.85494134024
2018-05-16 16:00:00,15397.0,14586.401074676085,11414.616868868488
2018-05-16 17:00:00,15507.0,14606.921283486596,11625.698226181219
2018-05-16 18:00:00,15560.0,14744.119084644226,11905.850319658302
2018-05-16 19:00:00,15465.0,14957.944090433371,12486.783499239305
2018-05-16 20:00:00,15268.0,15089.950688133722,13315.183168344012
2018-05-16 21:00:00,15300.0,14958.125228316301,13515.798736628054
2018-05-16 22:00:00,15081.0,14480.5782684709,13329.06983013463
2018-05-16 23:00:00,14116.0,13728.650577642493,12889.72203454846
2018-05-17 00:00:00,13043.0,12875.41586848345,12320.420361305743
2018-05-17 01:00:00,12222.0,12095.93237426841,11825.473387740229
2018-05-17 02:00:00,11692.0,11505.246552995975,11531.711705627584
2018-05-17 03:00:00,11458.0,11166.918076696686,11227.771865051624
2018-05-17 04:00:00,11346.0,11128.731797377257,11054.405794597385
2018-05-17 05:00:00,11401.0,11422.126608267283,11030.665464980788
2018-05-17 06:00:00,12066.0,12015.09271414981,11378.876394410727
2018-05-17 07:00:00,13042.0,12774.694975075507,12167.758634579617
2018-05-17 08:00:00,13820.0,13500.729172130827,12675.687242558868
2018-05-17 09:00:00,14195.0,14025.861621917378,12474.11337945774
2018-05-17 10:00:00,14555.0,14305.788504039985,12233.089415728216
2018-05-17 11:00:00,14997.0,14421.308592720987,11924.650541911798
2018-05-17 12:00:00,15501.0,14490.166813060841,11564.128598300587
2018-05-17 13:00:00,16071.0,14568.618066347526,11373.082799482567
2018-05-17 14:00:00,16510.0,14630.067093162477,11295.415492066284
2018-05-17 15:00:00,16710.0,14631.72431413629,11340.334149654012
2018-05-17 16:00:00,16869.0,14593.585057978315,11414.096077182261
2018-05-17 17:00:00,16906.0,14602.214327736827,11625.177434494992
2018-05-17 18:00:00,16674.0,14727.34977035693,11905.329527972075
2018-05-17 19:00:00,16188.0,14929.013784538523,12486.262707553078
2018-05-17 20:00:00,15887.0,15048.814529959305,13314.662376657785
2018-05-17 21:00:00,15801.0,14904.77188287285,13515.277944941827
2018-05-17 22:00:00,15627.0,14415.008850326258,13328.549038448402
2018-05-17 23:00:00,14595.0,13650.857163505998,12889.201242862233
2018-05-18 00:00:00,13334.0,12785.360023996971,12319.899569619516
2018-05-18 01:00:00,12378.0,11993.524122749815,11824.952596054001
2018-05-18 02:00:00,11822.0,11390.324209591563,11531.190913941356
2018-05-18 03:00:00,11455.0,11039.229360032416,11227.251073365396
2018-05-18 04:00:00,11292.0,10987.916614024507,11053.885002911158
2018-05-18 05:00:00,11402.0,11267.701883217207,11030.14467329456
2018-05-18 06:00:00,12005.0,11846.43961099611,11378.3556027245
2018-05-18 07:00:00,12940.0,12591.048816816601,12167.23784289339
2018-05-18 08:00:00,13603.0,13301.172334673267,12675.16645087264
2018-05-18 09:00:00,14023.0,13809.319629059768,12473.592587771513
2018-05-18 10:00:00,14293.0,14071.02950751943,12232.56862404199
2018-05-18 11:00:00,14531.0,14166.946369840482,11924.129750225571
2018-05-18 12:00:00,14712.0,14214.66736324668,11563.60780661436
2018-05-18 13:00:00,14960.0,14270.309833812913,11372.56200779634
2018-05-18 14:00:00,15112.0,14307.154788160977,11294.894700380057
2018-05-18 15:00:00,15196.0,14282.30624991002,11339.813357967785
2018-05-18 16:00:00,15065.0,14215.67386614293,11413.575285496034
2018-05-18 17:00:00,14938.0,14193.760861080782,11624.656642808764
2018-05-18 18:00:00,14765.0,14286.269950646254,11904.808736285848
2018-05-18 19:00:00,14521.0,14453.218104025073,12485.74191586685
2018-05-18 20:00:00,14199.0,14536.23986970313,13314.141584971558
2018-05-18 21:00:00,14354.0,14353.415269378374,13514.7571532556
2018-05-18 22:00:00,14178.0,13822.962735084468,13328.028246762175
2018-05-18 23:00:00,13346.0,13016.345778033347,12888.680451176006
2018-05-19 00:00:00,12448.0,12106.776336361445,12319.378777933289
2018-05-19 01:00:00,11877.0,11269.466902222457,11824.431804367774
2018-05-19 02:00:00,11342.0,10619.634690288052,11530.67012225513
2018-05-19 03:00:00,11013.0,10221.026988477755,11226.730281679169
2018-05-19 04:00:00,10755.0,10121.633364248628,11053.36421122493
2018-05-19 05:00:00,10700.0,10353.114628434421,11029.623881608333
2018-05-19 06:00:00,10949.0,10883.70005469188,11377.834811038272
2018-05-19 07:00:00,11191.0,11580.710504817982,12166.717051207163
2018-05-19 08:00:00,11444.0,12244.214295906628,12674.645659186412
2018-05-19 09:00:00,12403.0,12707.166225657125,12473.071796085283
2018-05-19 10:00:00,13128.0,12925.566111712249,12232.04783235576
2018-05-19 11:00:00,13595.0,12980.530530093813,11923.608958539342
2018-05-19 12:00:00,13753.0,12990.135169807965,11563.087014928133
2018-05-19 13:00:00,14187.0,13010.977247262266,11372.04121611011
2018-05-19 14:00:00,14335.0,13016.813751098578,11294.373908693828
2018-05-19 15:00:00,14465.0,12965.215462021655,11339.292566281556
2018-05-19 16:00:00,14784.0,12876.544165107458,11413.054493809805
2018-05-19 17:00:00,14997.0,12837.735215649294,11624.135851122535
2018-05-19 18:00:00,15001.0,12918.898137140204,11904.287944599619
2018-05-19 19:00:00,14734.0,13080.426202277094,12485.221124180622
2018-05-19 20:00:00,14377.0,13164.294778543688,13313.620793285329
2018-05-19 21:00:00,14179.0,12988.884504406496,13514.23636156937
2018-05-19 22:00:00,14060.0,12472.669831659316,13327.507455075945
2018-05-19 23:00:00,13343.0,11687.32167957768,12888.159659489776
2018-05-20 00:00:00,12331.0,10806.207201423154,12318.85798624706
2018-05-20 01:00:00,11533.0,10004.638812538658,11823.911012681545
2018-05-20 02:00:00,11047.0,9397.875785910124,11530.1493305689
2018-05-20 03:00:00,10710.0,9049.647593884692,11226.20948999294
2018-05-20 04:00:00,10438.0,9007.864701254028,11052.843419538702
2018-05-20 05:00:00,10360.0,9304.046736827191,11029.103089922104
2018-05-20 06:00:00,10544.0,9906.219559754303,11377.314019352043
2018-05-20 07:00:00,10498.0,10681.438881506823,12166.196259520933
2018-05-20 08:00:00,11002.0,11429.447283253548,12674.124867500184
2018-05-20 09:00:00,11675.0,11982.815040569209,12472.551004399056
2018-05-20 10:00:00,12488.0,12297.101099641972,12231.527040669533
2018-05-20 11:00:00,13193.0,12452.927871069405,11923.088166853115
2018-05-20 12:00:00,13702.0,12567.827231785886,11562.566223241905
2018-05-20 13:00:00,14307.0,12697.807145216259,11371.520424423883
2018-05-20 14:00:00,14695.0,12815.994630269368,11293.8531170076
2018-05-20 15:00:00,15079.0,12879.294977440493,11338.771774595329
2018-05-20 16:00:00,15287.0,12907.374577147262,11412.533702123577
2018-05-20 17:00:00,15592.0,12986.449464570876,11623.615059436308
2018-05-20 18:00:00,15845.0,13185.892197602352,11903.767152913391
2018-05-20 19:00:00,15793.0,13465.347953412116,12484.700332494394
2018-05-20 20:00:00,15490.0,13666.03955674438,13313.100001599101
2018-05-20 21:00:00,15267.0,13605.597435216203,13513.715569883143
2018-05-20 22:00:00,14998.0,13201.754964861342,13326.986663389718
2018-05-20 23:00:00,14185.0,12525.457878996262,12887.63886780355
2018-05-21 00:00:00,13048.0,11749.37066859527,12318.337194560832
2018-05-21 01:00:00,12165.0,11048.132051323746,11823.390220995318
2018-05-21 02:00:00,11711.0,10536.362746413197,11529.628538882673
2018-05-21 03:00:00,11262.0,10277.19466744053,11225.688698306712
2018-05-21 04:00:00,11208.0,10317.987173885747,11052.322627852474
2018-05-21 05:00:00,11273.0,10689.760251142323,11028.582298235877
2018-05-21 06:00:00,11937.0,11360.096080241905,11376.793227665816
2018-05-21 07:00:00,12934.0,12195.666610355387,12165.675467834706
2018-05-21 08:00:00,13690.0,12995.893931326718,12673.604075813957
2018-05-21 09:00:00,14239.0,13593.093822704268,12472.030212712829
2018-05-21 10:00:00,14663.0,13942.638794902568,12231.006248983305
2018-05-21 11:00:00,15379.0,14125.034267357947,11922.567375166887
2018-05-21 12:00:00,15978.0,14257.765260857259,11562.045431555678
2018-05-21 13:00:00,16688.0,14396.86300820286,11370.999632737656
2018-05-21 14:00:00,17083.0,14515.54721607723,11293.332325321373
2018-05-21 15:00:00,17315.0,14570.883886171308,11338.250982909101
2018-05-21 16:00:00,17382.0,14582.766078261668,11412.01291043735
2018-05-21 17:00:00,17397.0,14637.69974457903,11623.09426775008
2018-05-21 18:00:00,17285.0,14805.407284105935,11903.246361227164
2018-05-21 19:00:00,17018.0,15045.93974135635,12484.179540808167
2018-05-21 20:00:00,16664.0,15200.977407808923,13312.579209912874
2018-05-21 21:00:00,16372.0,15088.654872251258,13513.194778196916
2018-05-21 22:00:00,16013.0,14627.251039264022,13326.46587170349
2018-05-21 23:00:00,14784.0,13888.292849541302,12887.118076117322
2018-05-22 00:00:00,13488.0,13045.055694031264,12317.816402874605
2018-05-22 01:00:00,12771.0,12272.812667031545,11822.86942930909
2018-05-22 02:00:00,12125.0,11686.83596402098,11529.107747196445
2018-05-22 03:00:00,11829.0,11350.919606835505,11225.167906620485
2018-05-22 04:00:00,11679.0,11313.08920942755,11051.801836166247
2018-05-22 05:00:00,11827.0,11605.028723289923,11028.06150654965
2018-05-22 06:00:00,12465.0,12194.975694369754,11376.272435979588
2018-05-22 07:00:00,13417.0,12950.242712254985,12165.154676148479
2018-05-22 08:00:00,14223.0,13670.871913234767,12673.08328412773
2018-05-22 09:00:00,14541.0,14189.772975668086,12471.509421026602
2018-05-22 10:00:00,14982.0,14462.880980858512,12230.485457297078
2018-05-22 11:00:00,15443.0,14571.227835475602,11922.04658348066
2018-05-22 12:00:00,15890.0,14632.784680886423,11561.52463986945
2018-05-22 13:00:00,16356.0,14704.024733866876,11370.478841051428
2018-05-22 14:00:00,16903.0,14758.562326194558,11292.811533635146
2018-05-22 15:00:00,17129.0,14753.808078941285,11337.730191222874
2018-05-22 16:00:00,17255.0,14709.947615066165,11411.492118751123
2018-05-22 17:00:00,17355.0,14713.725952818031,11622.573476063853
2018-05-22 18:00:00,17179.0,14835.050234973976,11902.725569540937
2018-05-22 19:00:00,16822.0,15034.101717071793,12483.65874912194
2018-05-22 20:00:00,16382.0,15152.636764406707,13312.058418226647
2018-05-22 21:00:00,16009.0,15008.812888376971,13512.673986510688
2018-05-22 22:00:00,15780.0,14520.880319028747,13325.945080017264
2018-05-22 23:00:00,14721.0,13760.287818362784,12886.597284431095
2018-05-23 00:00:00,13521.0,12900.185691502393,12317.295611188378
2018-05-23 01:00:00,12630.0,12115.67810005644,11822.348637622863
2018-05-23 02:00:00,12037.0,11521.827937722306,11528.586955510218
2018-05-23 03:00:00,11592.0,11182.183400584718,11224.647114934258
2018-05-23 04:00:00,11381.0,11144.491911412855,11051.28104448002
